categorie	tag	word	prononciation	meaning	example
sleep		夜更かし	よふかし	Noctambule, se coicher tard Veiller tard	
sleep		夢を見る	ゆめをみる	Rêver, faire un rêve	
judgment		大事	だいじ	important, précieux	
lot	short	大体	だいたい	Dans l'ensemble, géneral Point essentiel, substanciellement	
country		大使館	たいしかん	Ambassade	
quantity		大勢	おおぜい	Nombreux, foule	
country		大和	やまと	Japon (ancien)	
lot	short	大層	たいそう	beaucoup, exagéré, très	
lot	short	大抵	たいてい	Généralement	
time		大晦日	おおみそか	Jour de l'an	
food		大蒜	にんにく	De l'Ail	
location		大都会	だいとかい	Métropole, grande ville	
location		大陸	たいりく	Continent	
house		天井	てんじょう	plafond,  prix plafond	
people		天使	てんし	ange	
character		天才	てんさい	génie, prodige	私たちは彼を天才だと思った。 We thought of him as a genius.
weather		天気予報	てんきよほう	Prévisions météo	
weather		天災	てんさい	Catastrophes naturelles	
country		天皇	てんのう	Empereur du Japon	
body		太る	ふとる	Grossir	
thing		太刀	たち	épée longue	大刀  だいとう
interact		夫婦喧嘩	ふうふげんか	Scène de ménage	
interact		失う	うしなう	perdre, se séparer de	ミスで財産を失った。
accomplish		失敗	しっぱい	Erreur, faillite, fr une bavure...	
accomplish		失格	しっかく	élimination,  disqualification,  incapacité (légal)	
society		失業	しつぎょう	chômage, demande d'emploi	失業する : perdre son emploi 兄は今、失業中です。
	thanks	失礼	しつれい	Impolitesse	
interact		失踪	しっそう	Absconding, disappearance	
judgment		奇妙な	きみょう	Étrange, bizarre	
location		奈良	なら	Nara	
school		奨学金	しょうがくきん	bourse d'étude	彼はその奨学金に応募した。 He applied for the scholarship.
people		奴	やつ	Individu, mac, type	
judgment		好み	このみ	Goût, penchant, prėférence	
judgment		如し	ごとし	comme, tel	
people		姓名	せいめい	nom et prénom	
society		委員会	いいんかい	comité, commission	委員会はその議案を可決した。  The committee passed the bill.
interact		威張る	いばる	Se vanter	
judgment		嫌	いや	Désagréable	
screen		字幕	じまく	Sous titres	
weather		季節	きせつ	saison	
school		学生同士	がくせいどうし	fellow students	
calm		守る	まもる	protéger,  respecter (l'heure, un règlement), surveiller	
calm		安全(な)	あんぜん	Sur/assuré Assuré, sécurité/sur	
calm		安心	あんしん	Soulagement, tranquilité d'esprit	
accomplish		完了	かんりょう	Accomplissement, achèvement	
accomplish		完全な	かんぜん	Etat Complet Perfection	
country		宗教	しゅうきょう	religion	
country		官庁	かんちょう	autorités, bureau administratif	
country		官邸	かんてい	résidence officielle	
decide		定める	さだめる	fixer, décider	
thing		宝	たから	Tresor	
reality		実在	じつざい	Existence, réalité	
interact		害する	がい	Nuire à	がい: nuisance
society		家事	かじ	travail à la maison,  travail domestique	
house		家具	かぐ	Mobilier, meubles	
house		家賃	やちん	loyer	
location		宿屋	やどや	auberge, pension	
character		寂しい	さびしい	Seul, solitaire	
movement		寄る	よる	Passer chez qq	
location		富士山	ふじさん	Mont fuji	
feeling		寒いので	さむい	Puisqu'il fait froid	ので:causalité
body		寒気がします	さむけ	Prendre froid	
sleep		寝ぼける	ねぼける	être à moitié endormi,  être seulement à motié réveillé	
sleep		寝付く	ねつく	S'endormir	
sleep		寝入る	ねいる	S'endormir	
sleep		寝坊する	ねぼう	Faire la grasse mat, se lever tard	
sleep		寝息	ねいき	respiration du dormeur	
mental		察する	さっする	deviner, présumer, sentir, sympathiser avec	この手紙から察すると彼は立腹しているようだ。 J'ai déduit de cette lettre qu'il était en colère.
house		寮	りょう	logement commun, pensionnat	
paper		封筒	ふうとう	enveloppe	
school		専門課程	せんもんかてい	specialist training	
country		将軍	しょうぐん	général, shogun	将軍は私たちと握手をした。
	thanks	尊敬する	そんけい	Respecter	そんけい:respect
	ERROR	尊敬する	そんけい すdevantべき	Respecter	
house		小屋	こや	Abri, cabane, hutte	
food		小麦	こむぎ	blé	
few	short	少しずつ	すこしずつ	petit à petit	
	ERROR	少しずつ	すこしずつ	Petit à petit	
feeling		尽くす	つくす	épuiser, être à court de   faire de son mieux, faire l'impossible, se dévouer (pour quelqu'un)	
sleep		居眠りする	いねむり	Somnoler	
location		居酒屋	いざかや	Bar, bistro, izakaya	
house		居間	いま	Salle de séjour	
interact		届ける	とどける	Envoyer, livrer, expedier	
location		屋上	おくじょ	Sur les toits, rooftop	
	ERROR	山に登ると空気が薄くなります		En grimpant la montagne l’air se rarifie	
	ERROR	山田さんはたまに野球を見にいきます			
movement		巡る	めぐる	tourner autour, tourner en rond	
		巣	す	antre, caverne, nid, repaire, ruche	
body		左利き	ひだりきき	gaucher buveur de sake	
judgment		巨大 (な)	きょだい	énorme, colossal, gigantesque	
food		巻	まき	livre, rouleau, volume	
location		市内	しない	(À l'interieur) de la ville	
location		市場	いちば	marché (aux légumes, aux poissons, etc ...)	
country		市役所	しやくしょ	MairieHotel de ville	
people		市長	しちょう	maire	
food		布巾	ふきん	torchon	
few	short	希少	きしょう	Peu nombreux, rare	
desire		希望	きぼう	Aspiration espoir souhait	
house		席	せき	Siège	
school		席次	せきじ	order of seats, seating precedence, class standing	
