categorie	tag	word	prononciation	meaning	example
body		骨	ほね	Os	
body		骸骨	がいこつ	Squelette	
feeling		高ぶり	たかぶり	excitement, stimulation, agitation,  arousal	
circulation		高速	こうそく	Grd vitesse, vitesse rapide (Abr de autoroute)	
body		髪の毛のような細いいとです	かみのけ	Tes cheveux ont l’air fin	
body		髭	ひげ	Barbe	
	ERROR	髭	ひげ	Vous avez laissé pousser votre barbe hein?	
character		魅力	みりょく	Attrait, pouvoir se séduction	
judgment		鮮やか	あざやか	éclatant, brillant, frais, vif	
animal		鹿	しか	Cerf	
judgment		麗らか	うららか	Lumineux, clair, beau	
		黄金	おうごん	Or	
character		黙る	だまる	être silencieux	
	ERROR	黙る	だまる	？  Choississez sur la carte trois choses que vous aimez.	
